,Name,Time,Num_Reviews,Title,Content,Rating
6,Cherra Hardy,2020-10-02,4,The entire framework of Facebook is to…,The worst customer service ever! no help or whatsoever. Theres no phone number and they dont reply or try to verify if you are the right person to help you. Once you are locked out you simply cant log in. All they do is keep sending automated messages to you which are on their websites. THE WORST!!!! They have ignored all mails and calls sent and I guess it’s time I switch up!! Reviews about Edwinconsult __  helped me out eventually!!! Reach out on IG as well and explained the whole situation and they helped me out regarding my account recovery!!,1
7,Murphy,2020-10-01,2,The worst customer service ever,"Too much spying. Use of microphone/camera with no user permission.If I say something about something, even if the micro is off, the publicity comes with suggestions about the subject I talked about. Bad, so bad invasion of basic rules of privacy.",2
8,P CM,2020-10-01,2,Too much spying. Use of microphone/camera with no user permission.,I only wanted my account back and I got just that!! I’m really happy to be honest..  Edwinconsult ___ made it all happen...,2
9,Patience,2020-09-30,2,I only wanted my account back and I got…,"Their support is inexistent, they send a bot message for everyone's problems! The nonsense is that they claim to be a real support team, if someone invests money through ads the platform can block you anytime anywhere and everything is gone, your money, profile, page, everything, I think someone has to take an action because this is wrong and bad, Facebook should be prohibited, besides of them collet your real data, they even can disable your account for life and that's it, no help, it seems like a scam for me",4
10,Felipe Leandro,2020-09-30,1,Their support is inexistent,Let's invite everyone for free on a space and then lock them up with most hypocritical and totalitarian rules no one ever created.,1
11,Roland Gray,2020-09-30,1,Let's invite everyone for free on a…,"Il marketplace di facebook e gestito da gente INCAPACE, ho messo un paio di scarpe usate, visibilmente usate marca Zara e dicono che violano la loro regole, ho fatto riorso ed e stato rifiutato, qualsiasi prodotto di marca fanno storie, anche se usato tanto, una delle tante cose che facebook non riesce a gestire, l'unica cosa che li frega e rubarti dati e rivenderli.",1
12,Patricia,2020-09-30,11,Il marketplace di facebook e gestito da…,I’m really happy my account came back intact!!! Edwinconsult __ way too reliable... talk em up on IG,1
13,Helen ,2020-09-30,2,I’m really happy my account came back…,Facebook sucks  cause I can't make a page without changing the name,4
14,Jacob “Adept ” Coutts,2020-09-30,1,Facebook,Let's invite everyone for free on a space and then lock them up with most hypocritical and totalitarian rules no one ever created. Weird Zuckerberg has got s**t yet,1
15,Monsieur BR,2020-09-30,5,Let's invite everyone for free on a…,"This is the second time my Facebook account gets blocked for the reason ''Covid-19'' which i have no idea what exactly that means for my Facebook account, but i bet neither THEY know. Now i can't log in cause i register an old phone number and i can't activate the code that requires. They think they know what they're doing but they have no idea, these pros. Neither you can contact any suppose, feels like im dealing with the Chinese from Wish. LoL",1
16,Radu Romanciuc,2020-09-29,2,The reviews speak for themselves!,Just what I want I got my account back!!! Edwinconsult ___ throughly rocks!! Spoke on IG as well,1
17,Murphy ,2020-09-29,2,Just what I want I got my account…,"Facebook will sell your personal data to a 3rd party to gain money. Your valuable information is only selling products to them. Also, there is no freedom of speech on this platform. Facebook acts like a dictator.",4
18,SUPREOR LEO,2020-09-29,1,Facebook will sell your personal data…,none,1
0,Dylan Stanojlovic,2020-09-29,1,Poxy service,"changing phones but keeping the same number linked to my account. It has been 2 days and still to receive a login code text message, consecutive attempts to no success.",1
0,onnyryan richy,2020-09-29,1,Terrible,"Terrible. I manage multiple Facebook group. I used to be able to quickly go back to the same page once I had posted something. Not anymore. Now I have to go to ""home"" find the group I had just posted in then click i.e. lots of extra hassle whereas before it was all simple easy and headache-free. As for my personal page, everything looks messy and clungky, unecessary big, a lot less user friendly just like my Facebook groups. Everything has round edges too - so weird and unattractive. As for the light blue color and their new logo? No idea why they changed that. it was all fine and nice-looking; not anymore!",1
1,maggie concannon,2020-09-29,1,The fact that Facebook force you accept…,"The fact that Facebook force you accept the new layout (the option to go to the old version is forever gone) that is so  aggressive for your eyes, make me feel like they don't care. Wouldn't be a surprise that  people will spent less time on  new Facebook.",1
2,Robert Hunt,2020-09-28,5,Facebook is so useful i admire,"Facebook is so useful i admire. I used to like it but nowadays it’s too irritating to me. So many irrelevent posts, news. I am bored!",3
3,Chris Chester,2020-09-28,10,Facebook ruins new interface,"Since the latest interface upgrade it's been a disgusting experience! It is now an unusable pile of badly thought out, badly implemented and badly designed jargon that serves no other purpose but to annoy, anger and upset. It wasn't easy to use to begin with but things where, sort of, in a logical order but now - it is very bad indeed. It proves that as a company gets bigger it doesn't care much for the customer. I am yet to meet anyone who likes the awful update and since it went out I have actively avoided using it where possible and will slowly move to different networks. It was NOT broke so why ""fix"" it? I use ""fix"" tongue in cheek!",1
4,Barry Powell,2020-09-28,2,To many adverts and censorship is rife,"You can no longer select multiple Friends List Groups to send a post to.  There is no longer a Custom Option.  And Specific Friends only allows you ONE change.  At first you could select one change, save, exit, and go in and add another.  NOW THEY EVEN TOOK THAT AWAY.If you try sending the same post to each group one at a time, it stops you from making a ""duplicate post"".You used to be able to just go back into the old facebook.  But that is gone now.  This is an unusable piece of junk.  I have a very, very diverse group of friends.  And there are good reasons why I have several Friends List Groups.  If I send the wrong post to the wrong group - people are mad.  I must be able to select the groups a post goes to.I complained and sent feedback multiple times to their feedback section.  Nothing was improved, and now the old facebook is gone.  It's unusable.",1
5,Victoria,2020-09-28,5,Facebook is poison,"New design is a crap. Bring back old one..this one dont even work properly and it look so bad...things are to BIG, and this makes it unmanageable. . If i want it to look like on the phone i would use phone..this change makes me wanting to stop using facebook",1
6,BJ Callman,2020-09-27,2,You can't select who post goes to. FB doesn't fix problems.,"By this time Facebook is TRASH!!!!! They block me for literally ANYTHING! Like there has to be a way for me to contact Mark or a Facebook reviewer. I mean literal regular post that's on my timeline that i'll share or a regular ass comments will get me ""temporarily blocked"" i HATE it & my acct will be deleted. I'm not spam i'm a human being i'm SICKKKKK of them. It's very aggravating i used to love Facebook now i truly hate everything about it. Can't enjoy it without gettin blocked every two damn days",1
7,Mateja Falašta,2020-09-27,1,New design is a crap,"They’ve been all great until I got disabled for no reason..   I’m happy i saw talks about Edwinconsult __ here, was useful to me eventually...",1
8,Kierra Desmore,2020-09-27,1,By this time Facebook is TRASH!!!!,Wonderful Social Network. Sign up tody for connecting with world.,1
9,Fletcher,2020-09-27,1,They’ve been all great until I got…,"First of all, don't FORCE me to convert to something that is so poorly designed that it should have caused YOU nightmares since the day of inception.  Facebook used to work.  It doesn't anymore.  I can type into google or any search engine, or Facebook help center, or Facebook community a question like: where did my newsfeed go?  And I will get a dozen different responses of how to find it...none of which work.  It just isn't worth it.  Nothing works properly.  I'm tired.  I'm leaving.",4
10,Prabhat Kapadi,2020-09-27,5,Wonderful Social Network,"Gosh!!   It’s all true about Edwinconsult __ here, like I had mine recovered also.. great work",5
11,Deb Lamboo,2020-09-26,1,Not worth the trouble,I’d say thumbs up Edwinconsult ___ consult firm.. my lost account been gotten back.. truly worth it tbh.. communicated through IG as well,1
12,Josephine,2020-09-26,1,Gosh!,"I get that you can’t say and do things in normal chats or whatever, but I’ve been blocked because I’m on plastic surgery forum.... we show nudity omg. I showed my butt. So obscure. Facebook needs to open up. This is ridiculous",4
13,Elvis,2020-09-26,1,I’d say thumbs up Edwinconsult ___…,For starters if you are politically a conservative and post anything about your party you will be suspended for a few days or told you will be terminated. Second there fact check is about 70% false they really need to find unbiased fact checkers l. You can post anything about BLM or Antifa city's burning people getting brutally beaten but post something like our President going to military funerals showing his condolences to the families of our fallon and your suspended facebook restrict you from freedom of speech unless you fit there propaganda it's BS,4
14,Jessica Steele,2020-09-26,1,I get that you can’t say and do things…,New Facebook is too cramped.  Terrible design!,1
15,Tracy N Dave,2020-09-26,1,Facebook the silencers of free speech,"New design is a nightmare either too dark or too bright, killer on the eyes.  even a two year old can design something better.",1
16,freespirit angel,2020-09-25,4,New Facebook is too cramped,"Facebook, your new layout is horrible. Could you please re-design it.",1
17,Robert Pool,2020-09-25,1,Facebook crap design,none,1
18,Patrycja Kwiatkowska,2020-09-25,1,Facebook,none,1
0,David Moore,2020-09-25,2,It’s a PC cesspool,It’s a PC cesspool. Can’t have an opinion if you’re of the wrong politics and they can’t take a joke.,1
0,Leonard ,2020-09-25,1,Over the past years I could say…,"Over the past years I could say Facebook have been good honestly, like no problem or whatsoever using they service.. of late logged into my account and noticed I couldn’t even like and follow friends.. action block displayed when trying to like or follow anyone.. they made my account messed up and have been looking for means to help me with my account and talks about edwinconsult___ came up, we spoke on Instagram and they actually helped out to fix up the whole situation on my account.. they worth it",3
1,Eli Kova,2020-09-25,9,bu11sh1t!!!,very useful for my business,1
2,kwangit bebe,2020-09-25,1,interesting,Easy communication and social networking with my friends and relatives. Good app to connect with overseas friends too.,5
3,Park Sleroyl,2020-09-25,2,Thanks Facebook,I was signing up for a Facebook account and did something wrong and have been denied to continue.  I cannot find out what I did wrong and thus cannot correct the error(s). They are willing to review but claim the review may take some time or not at all due to lack of reviewers due to covid-19.  What about all the employees who may be working from home? Thumbs down for Facebook from me!,5
4,Dick Osterhof,2020-09-24,2,No help from Facebook,"Your new layout design does not suit me in a webbrowser, things are to BIG, and this makes it unmanageable. This is not optimized for mouse/keyboard users. Please make it so, that you can choose to use the new layout or not use it.I really feel this change makes me wanting to stop using facebook, and maybe this would actually be a good starting step for it.",1
5,Ben,2020-09-24,18,New layout is awful.,"FaceBook has gone from a steady four-star to a 2-3 star site. It stops constantly. More often than not, I am unable to do what I want to through this new version. The old version, while far from perfect, functioned as it was supposed to most of the time. I keep trying to give this new version a chance--so far, it is still pretty bad.",1
